Effect Name,StartTime,EndTime,Duration,Description,Element,ElementType,Files
"On",00:03.050,00:03.100,00:00.050,"","RedTree1",Model,
"On",00:03.150,00:03.200,00:00.050,"","RedTree1",Model,
"On",00:03.250,00:03.300,00:00.050,"","RedTree1",Model,
"On",00:03.350,00:03.400,00:00.050,"","RedTree1",Model,
"On",00:03.450,00:03.500,00:00.050,"","RedTree1",Model,
"On",00:03.550,00:03.900,00:00.350,"","RedTree1",Model,
"On",00:09.750,00:09.900,00:00.150,"","RedTree1",Model,
"On",00:10.600,00:12.050,00:01.450,"","WhiteWindow3",Model,
"On",00:12.950,00:14.400,00:01.450,"","WhiteWindow3",Model,
"On",00:14.950,00:19.850,00:04.900,"","WhiteWindow3",Model,
"Effect Count",100

Effect Usage Summary
Effect Name,Occurences,TotalTime
"On",100,00:20.900

Summary of files used
