Effect Name,StartTime,EndTime,Duration,Description,Element,ElementType,Files
"On",02:11.250,02:11.450,00:00.200,"","WhiteRightSide",Model Group,
"On",02:11.650,02:11.850,00:00.200,"","WhiteRightSide",Model Group,
"On",02:12.050,02:12.250,00:00.200,"","WhiteRightSide",Model Group,
"On",02:12.450,02:12.650,00:00.200,"","WhiteRightSide",Model Group,
"On",02:12.850,02:13.050,00:00.200,"","WhiteRightSide",Model Group,
"On",02:14.850,02:15.050,00:00.200,"","WhiteRightSide",Model Group,
"On",02:15.250,02:15.450,00:00.200,"","WhiteRightSide",Model Group,
"On",02:15.650,02:15.850,00:00.200,"","WhiteRightSide",Model Group,
"On",02:16.050,02:16.250,00:00.200,"","WhiteRightSide",Model Group,
"On",02:16.500,02:16.700,00:00.200,"","WhiteRightSide",Model Group,
"On",02:16.900,02:17.100,00:00.200,"","WhiteRightSide",Model Group,
"On",02:17.300,02:17.500,00:00.200,"","WhiteRightSide",Model Group,
"On",02:17.700,02:17.900,00:00.200,"","WhiteRightSide",Model Group,
"On",02:18.100,02:18.300,00:00.200,"","WhiteRightSide",Model Group,
"On",02:18.500,02:18.700,00:00.200,"","WhiteRightSide",Model Group,
"On",02:18.900,02:19.100,00:00.200,"","WhiteRightSide",Model Group,
"On",02:19.300,02:19.500,00:00.200,"","WhiteRightSide",Model Group,
"On",00:00.000,03:21.400,03:21.400,"","WhiteSign1",Model,
"On",00:00.000,00:03.400,00:03.400,"","WhiteSnowman1",Model,
"On",00:03.750,00:04.250,00:00.500,"","WhiteSnowman1",Model,
"On",00:04.500,00:04.800,00:00.300,"","WhiteSnowman1",Model,
"On",00:04.900,00:06.400,00:01.500,"","WhiteSnowman1",Model,
"Effect Count",397

Effect Usage Summary
Effect Name,Occurences,TotalTime
"On",397,04:52.050

Summary of files used
